숙소 링크,평점,후기 개수,이미지 파일
https://www.airbnb.co.kr/rooms/1176491352558504015?search_mode=regular_search&adults=1&check_in=2025-06-02&check_out=2025-06-07&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3K3_kIi9OCc6krt&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.94,33.0,airbnb_images\숙소_38.jpg
https://www.airbnb.co.kr/rooms/1255706751179752057?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3Rtz5rANsDQZ2O5&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.56,16.0,airbnb_images\숙소_39.jpg
https://www.airbnb.co.kr/rooms/881415242527465576?search_mode=regular_search&adults=1&check_in=2025-05-11&check_out=2025-05-16&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3QR4dquXeWoZUZS&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.88,96.0,airbnb_images\숙소_40.jpg
https://www.airbnb.co.kr/rooms/962540943678918013?search_mode=regular_search&adults=1&check_in=2025-05-05&check_out=2025-05-10&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3XGtWMYeTV8MKca&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.89,138.0,airbnb_images\숙소_41.jpg
https://www.airbnb.co.kr/rooms/49427619?search_mode=regular_search&adults=1&check_in=2025-04-20&check_out=2025-04-25&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3XbGNTNiQxb-saP&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.69,65.0,airbnb_images\숙소_42.jpg
https://www.airbnb.co.kr/rooms/1252009069644685190?search_mode=regular_search&adults=1&check_in=2025-05-06&check_out=2025-05-11&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3FRMd-bLyQxPKp7&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.69,16.0,airbnb_images\숙소_43.jpg
https://www.airbnb.co.kr/rooms/52944199?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3vE6vsxW7nti1Oe&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.71,266.0,airbnb_images\숙소_44.jpg
https://www.airbnb.co.kr/rooms/1249174135761563986?search_mode=regular_search&adults=1&check_in=2025-06-24&check_out=2025-06-29&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3WYZidJP510llmK&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,5.0,42.0,airbnb_images\숙소_45.jpg
https://www.airbnb.co.kr/rooms/1377568278915531852?search_mode=regular_search&adults=1&check_in=2025-05-19&check_out=2025-05-24&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P31yveZiv_pwGdjo&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,,2.0,airbnb_images\숙소_46.jpg
https://www.airbnb.co.kr/rooms/896694369026367205?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3BLRDQSuxftkr8Z&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.85,111.0,airbnb_images\숙소_47.jpg
